Student_ID,Age,Gender,Study_Hours_Per_Week,Attendance_Rate,Assignments_Submitted,Course_Grade,Part_Time_Job,Monthly_Income,GPA,Social_Media_Usage_Hours,Extra_Curricular_Activities,Internet_Access,Parental_Education_Level,Mode_of_Transport
S00001,18,Male,23,0.53,8,A,Yes,14577,2.96,16,No,Yes,High School,Bike
S00002,18,Male,23,0.69,3,C,Yes,8510,2.26,13,Yes,Yes,Graduate,Car
S00003,21,Female,26,0.73,1,C,Yes,16524,3.94,15,Yes,Yes,Diploma,Bus
S00004,19,Male,39,0.88,7,C,No,13076,3.79,14,No,No,High School,Car
S00005,23,Male,32,0.77,0,D,No,420,3.32,8,Yes,Yes,Postgraduate,Car
S00006,18,Female,37,0.89,1,C,Yes,17326,2.06,10,No,Yes,High School,Car
S00007,23,Male,10,0.57,2,C,Yes,6463,2.71,3,Yes,No,High School,Bike
S00008,23,Other,16,0.68,2,A,Yes,9167,2.31,10,Yes,Yes,High School,Bus
S00009,18,Female,37,0.76,4,F,Yes,15459,2.38,16,No,Yes,Graduate,Bike
S00010,23,Female,38,0.51,2,D,Yes,14388,3.37,18,Yes,No,High School,Bike
S00011,20,Other,16,0.98,2,F,Yes,2506,2.78,5,Yes,No,Graduate,Bike
S00012,23,Other,7,0.96,0,A,Yes,130,2.68,18,Yes,No,Diploma,Bike
S00013,23,Male,32,0.83,7,C,Yes,1302,2.93,1,No,Yes,Graduate,Bike
S00014,18,Female,15,0.61,4,C,Yes,6568,2.32,8,No,No,High School,Bus
S00015,23,Male,20,0.57,7,F,No,6932,2.88,12,Yes,Yes,Postgraduate,Walk
S00016,22,Female,7,0.94,0,C,No,7475,3.87,18,No,Yes,Postgraduate,Bus
S00017,20,Female,26,0.64,8,C,Yes,17729,3.59,15,Yes,No,Graduate,Bus
S00018,21,Female,19,0.69,0,D,Yes,6001,2.08,15,Yes,No,Graduate,Walk
S00019,21,Male,39,0.7,2,C,Yes,6855,2.86,11,Yes,Yes,Postgraduate,Bus
S00020,21,Female,24,0.61,7,C,Yes,16572,3.72,14,No,No,High School,Bus
S00021,20,Male,8,0.86,0,F,Yes,16375,2.5,5,Yes,Yes,Graduate,Walk
S00022,18,Female,33,0.79,6,A,Yes,15264,3.68,16,Yes,Yes,Diploma,Bus
S00023,18,Other,24,0.94,4,C,No,13403,3.18,7,Yes,No,Diploma,Bike
S00024,22,Male,33,0.61,2,D,Yes,9951,2.02,2,No,Yes,Graduate,Walk
